keyword,kanji,image,stroke
英語,英,https://media.kanjialive.com/kanji_strokes/ei(go)_8.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/ei(go)_00.mp4
英語,語,https://media.kanjialive.com/kanji_strokes/kata(ru)_14.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/kata(ru)_00.mp4
辺,辺,https://media.kanjialive.com/kanji_strokes/hen-ata(ri)_5.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/hen-ata(ri)_00.mp4
本,本,https://media.kanjialive.com/kanji_strokes/hon-moto_5.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/hon-moto_00.mp4
業務,業,https://media.kanjialive.com/kanji_strokes/gyou-waza_13.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/gyou-waza_00.mp4
業務,務,https://media.kanjialive.com/kanji_strokes/(nin)mu_11.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/(nin)mu_00.mp4
走る,走,https://media.kanjialive.com/kanji_strokes/sou-hashi(ru)_7.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/sou-hashi(ru)_00.mp4
当日,当,https://media.kanjialive.com/kanji_strokes/a(taru)_6.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/a(taru)_00.mp4
当日,日,https://media.kanjialive.com/kanji_strokes/nichi-hi_4.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/nichi-hi_00.mp4
手,手,https://media.kanjialive.com/kanji_strokes/te_4.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/te_00.mp4
在る,在,https://media.kanjialive.com/kanji_strokes/zai-a(ru)_6.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/zai-a(ru)_00.mp4
失礼,失,https://media.kanjialive.com/kanji_strokes/ushina(u)_5.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/ushina(u)_00.mp4
失礼,礼,https://media.kanjialive.com/kanji_strokes/rei(gi)_5.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/rei(gi)_00.mp4
前,前,https://media.kanjialive.com/kanji_strokes/mae_9.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/mae_00.mp4
話,話,https://media.kanjialive.com/kanji_strokes/wa-hana(su)_13.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/wa-hana(su)_00.mp4
食べる,食,https://media.kanjialive.com/kanji_strokes/ta(beru)_9.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/ta(beru)_00.mp4
今日は,今,https://media.kanjialive.com/kanji_strokes/ima_4.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/ima_00.mp4
今日は,日,https://media.kanjialive.com/kanji_strokes/nichi-hi_4.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/nichi-hi_00.mp4
男性,男,https://media.kanjialive.com/kanji_strokes/otoko_7.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/otoko_00.mp4
男性,性,https://media.kanjialive.com/kanji_strokes/(ko)sei_8.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/(ko)sei_00.mp4
家,家,https://media.kanjialive.com/kanji_strokes/ie_10.svg,https://media.kanjialive.com/kanji_animations/kanji_mp4/ie_00.mp4
